epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.547,1.87169,3.29923,1.7546,0.36978,0.3753,0.31808,0.13671,1.53849,10.3165,1.46478,0.000555037,0.000555037,0.000555037
2,182.6,1.90691,2.22075,1.78478,0.4636,0.42525,0.39864,0.17713,1.53543,8.83393,1.41902,0.00100074,0.00100074,0.00100074
3,261.113,1.88026,2.09099,1.74785,0.46354,0.38606,0.37893,0.17012,1.57674,3.58175,1.42359,0.00133643,0.00133643,0.00133643
4,356.924,1.80653,1.91865,1.68309,0.57387,0.47883,0.49918,0.23802,1.49885,2.50268,1.37591,0.0011719,0.0011719,0.0011719
5,430.306,1.73519,1.77584,1.63025,0.58917,0.4833,0.52604,0.25679,1.39724,2.38505,1.27509,0.00100687,0.00100687,0.00100687
6,503.767,1.68739,1.67422,1.58811,0.59693,0.53071,0.55538,0.28501,1.37236,3.70952,1.27558,0.000841835,0.000841835,0.000841835
7,577.414,1.63461,1.56801,1.5452,0.62243,0.56087,0.59971,0.31309,1.32848,3.21957,1.23862,0.000676802,0.000676802,0.000676802
8,650.575,1.59199,1.49202,1.50911,0.67177,0.57694,0.63287,0.33725,1.29269,1.95161,1.20216,0.000511769,0.000511769,0.000511769
9,724.204,1.54995,1.41107,1.4858,0.68573,0.58544,0.65277,0.35271,1.26578,2.40956,1.18989,0.000346736,0.000346736,0.000346736
10,797.489,1.49805,1.33943,1.44485,0.68647,0.60598,0.67427,0.37448,1.21874,1.81722,1.15615,0.000181703,0.000181703,0.000181703
