epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,350.025,2.10298,2.96621,2.02403,0.22035,0.20867,0.1037,0.03727,1.97686,14.5534,2.69782,0.000555037,0.000555037,0.000555037
2,698.709,2.0982,2.56041,2.00292,0.31824,0.29331,0.2161,0.08693,1.76036,11.136,1.69573,0.00100074,0.00100074,0.00100074
3,1044.32,1.98479,2.33044,1.89876,0.42547,0.35813,0.32777,0.14019,1.66723,3.7837,1.54349,0.00133643,0.00133643,0.00133643
4,1375.38,1.89454,2.15616,1.81944,0.42947,0.43661,0.39165,0.17887,1.54293,5.91454,1.46503,0.0011719,0.0011719,0.0011719
5,1701.09,1.80774,2.01292,1.76399,0.52627,0.43789,0.45024,0.21513,1.45511,2.6936,1.38351,0.00100687,0.00100687,0.00100687
6,2035.22,1.74245,1.86963,1.6999,0.55408,0.49501,0.51105,0.2513,1.39667,3.99606,1.34928,0.000841835,0.000841835,0.000841835
7,2354.23,1.68793,1.76582,1.66173,0.60313,0.51285,0.5436,0.27405,1.36354,3.42773,1.32609,0.000676802,0.000676802,0.000676802
8,2688.18,1.64042,1.67471,1.62209,0.61985,0.50161,0.53981,0.2702,1.38386,3.65676,1.33493,0.000511769,0.000511769,0.000511769
9,3011.21,1.58901,1.57716,1.58277,0.63351,0.541,0.59191,0.31149,1.31975,3.13084,1.28436,0.000346736,0.000346736,0.000346736
10,3368.25,1.54874,1.49793,1.55114,0.66611,0.55607,0.622,0.33559,1.26215,2.51893,1.22883,0.000181703,0.000181703,0.000181703
1,348.337,2.10298,2.96621,2.02403,0.22035,0.20867,0.1037,0.03727,1.97686,14.5534,2.69782,0.000555037,0.000555037,0.000555037
2,693.025,2.0982,2.56041,2.00292,0.31824,0.29331,0.2161,0.08693,1.76036,11.136,1.69573,0.00100074,0.00100074,0.00100074
3,1016.79,1.98479,2.33044,1.89876,0.42547,0.35813,0.32777,0.14019,1.66723,3.7837,1.54349,0.00133643,0.00133643,0.00133643
4,1351.6,1.89454,2.15616,1.81944,0.42947,0.43661,0.39165,0.17887,1.54293,5.91454,1.46503,0.0011719,0.0011719,0.0011719
5,1673.9,1.80774,2.01292,1.76399,0.52627,0.43789,0.45024,0.21513,1.45511,2.6936,1.38351,0.00100687,0.00100687,0.00100687
6,2006.72,1.74245,1.86963,1.6999,0.55408,0.49501,0.51105,0.2513,1.39667,3.99606,1.34928,0.000841835,0.000841835,0.000841835
7,2326.82,1.68793,1.76582,1.66173,0.60313,0.51285,0.5436,0.27405,1.36354,3.42773,1.32609,0.000676802,0.000676802,0.000676802
8,2673.47,1.64042,1.67471,1.62209,0.61985,0.50161,0.53981,0.2702,1.38386,3.65676,1.33493,0.000511769,0.000511769,0.000511769
9,2994.54,1.58901,1.57716,1.58277,0.63351,0.541,0.59191,0.31149,1.31975,3.13084,1.28436,0.000346736,0.000346736,0.000346736
10,3343.19,1.54874,1.49793,1.55114,0.66611,0.55607,0.622,0.33559,1.26215,2.51893,1.22883,0.000181703,0.000181703,0.000181703
1,351.118,2.06862,2.92883,1.99372,0.2402,0.27419,0.17491,0.0652,1.68847,9.7053,1.61383,0.000555042,0.000555042,0.000555042
2,691.524,2.09426,2.5403,2.00424,0.3701,0.34313,0.28957,0.11968,1.66315,4.78803,1.57626,0.00100075,0.00100075,0.00100075
3,1015.68,1.98959,2.34539,1.91512,0.45655,0.37143,0.34806,0.1481,1.6157,4.35919,1.52026,0.00133643,0.00133643,0.00133643
4,1372.36,1.88325,2.15202,1.81855,0.52075,0.43214,0.43598,0.19715,1.51791,3.13794,1.41932,0.0011719,0.0011719,0.0011719
5,1717.47,1.80433,1.95794,1.7501,0.53274,0.48759,0.47919,0.22251,1.45352,4.48112,1.40726,0.00100687,0.00100687,0.00100687
6,2054.38,1.7413,1.88028,1.70575,0.56789,0.46821,0.48913,0.23089,1.44836,3.14937,1.36831,0.000841835,0.000841835,0.000841835
7,2375.97,1.68388,1.75051,1.66017,0.59387,0.52671,0.55538,0.27936,1.34531,2.91759,1.30773,0.000676802,0.000676802,0.000676802
8,2713.37,1.62887,1.6591,1.61533,0.63618,0.53246,0.58442,0.3066,1.3064,2.66006,1.27553,0.000511769,0.000511769,0.000511769
9,3036.77,1.57327,1.55052,1.57239,0.6503,0.56689,0.62276,0.33228,1.28576,2.7709,1.25584,0.000346736,0.000346736,0.000346736
10,3382.3,1.54154,1.46802,1.54755,0.67551,0.56382,0.63353,0.34075,1.25931,2.2376,1.22994,0.000181703,0.000181703,0.000181703
