epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.084,2.00456,2.71017,1.90238,0.30431,0.30271,0.22371,0.08336,1.8602,13.8864,1.72133,0.000555037,0.000555037,0.000555037
2,463.951,2.04245,2.39955,1.92023,0.40766,0.34235,0.31418,0.1324,1.66074,7.27656,1.56014,0.00100074,0.00100074,0.00100074
3,676.06,1.96272,2.22699,1.84568,0.40218,0.40611,0.34925,0.14669,1.58031,9.9321,1.47934,0.00133643,0.00133643,0.00133643
4,885.681,1.85312,2.03955,1.76516,0.50872,0.44416,0.44331,0.20243,1.46968,3.84281,1.3799,0.0011719,0.0011719,0.0011719
5,1095.08,1.77648,1.8817,1.70051,0.57979,0.47474,0.50509,0.24407,1.43289,2.55083,1.33859,0.00100687,0.00100687,0.00100687
6,1304.33,1.70042,1.74517,1.63138,0.60313,0.5104,0.54658,0.27381,1.38169,3.68083,1.29071,0.000841835,0.000841835,0.000841835
7,1513.88,1.65179,1.63766,1.59952,0.61267,0.53424,0.57217,0.29247,1.35442,3.16008,1.29358,0.000676802,0.000676802,0.000676802
8,1722.96,1.60329,1.5653,1.55362,0.66186,0.57024,0.61863,0.3228,1.30835,2.24658,1.23223,0.000511769,0.000511769,0.000511769
9,1932.56,1.55478,1.46925,1.51866,0.6696,0.57399,0.63558,0.34111,1.26256,2.63048,1.21199,0.000346736,0.000346736,0.000346736
10,2141.72,1.50391,1.37922,1.48397,0.68743,0.60676,0.67073,0.36851,1.22051,2.28199,1.1833,0.000181703,0.000181703,0.000181703
1,238.072,2.00456,2.71017,1.90238,0.30431,0.30271,0.22371,0.08336,1.8602,13.8864,1.72133,0.000555037,0.000555037,0.000555037
2,450.737,2.04245,2.39955,1.92023,0.40766,0.34235,0.31418,0.1324,1.66074,7.27656,1.56014,0.00100074,0.00100074,0.00100074
3,661.143,1.96272,2.22699,1.84568,0.40218,0.40611,0.34925,0.14669,1.58031,9.9321,1.47934,0.00133643,0.00133643,0.00133643
4,870.362,1.85312,2.03955,1.76516,0.50872,0.44416,0.44331,0.20243,1.46968,3.84281,1.3799,0.0011719,0.0011719,0.0011719
5,1079.73,1.77648,1.8817,1.70051,0.57979,0.47474,0.50509,0.24407,1.43289,2.55083,1.33859,0.00100687,0.00100687,0.00100687
6,1289.08,1.70042,1.74517,1.63138,0.60313,0.5104,0.54658,0.27381,1.38169,3.68083,1.29071,0.000841835,0.000841835,0.000841835
7,1498.26,1.65179,1.63766,1.59952,0.61267,0.53424,0.57217,0.29247,1.35442,3.16008,1.29358,0.000676802,0.000676802,0.000676802
8,1707.73,1.60329,1.5653,1.55362,0.66186,0.57024,0.61863,0.3228,1.30835,2.24658,1.23223,0.000511769,0.000511769,0.000511769
9,1917.27,1.55478,1.46925,1.51866,0.6696,0.57399,0.63558,0.34111,1.26256,2.63048,1.21199,0.000346736,0.000346736,0.000346736
10,2126.85,1.50391,1.37922,1.48397,0.68743,0.60676,0.67073,0.36851,1.22051,2.28199,1.1833,0.000181703,0.000181703,0.000181703
1,258.356,2.00456,2.71017,1.90238,0.30431,0.30271,0.22371,0.08336,1.8602,13.8864,1.72133,0.000555037,0.000555037,0.000555037
2,493.319,2.04245,2.39955,1.92023,0.40766,0.34235,0.31418,0.1324,1.66074,7.27656,1.56014,0.00100074,0.00100074,0.00100074
1,239.208,1.99654,2.76829,1.91154,0.34165,0.29945,0.23254,0.08746,1.7638,18.7777,1.61344,0.000555042,0.000555042,0.000555042
2,452.763,2.05581,2.43746,1.95406,0.40049,0.33393,0.28774,0.11972,1.66933,2.87808,1.53589,0.00100075,0.00100075,0.00100075
3,664.325,1.94809,2.23341,1.85644,0.40659,0.35207,0.31372,0.13364,1.63537,3.92023,1.52337,0.00133643,0.00133643,0.00133643
4,875.127,1.87742,2.07927,1.77755,0.52663,0.43663,0.45368,0.21107,1.50077,3.21814,1.38916,0.0011719,0.0011719,0.0011719
5,1085.97,1.76391,1.88175,1.69191,0.57193,0.51604,0.52875,0.25885,1.39392,3.82755,1.32471,0.00100687,0.00100687,0.00100687
6,1296.6,1.70351,1.78787,1.63936,0.59164,0.52964,0.55648,0.2707,1.36399,3.81555,1.28127,0.000841835,0.000841835,0.000841835
7,1507.42,1.64968,1.6542,1.59502,0.60297,0.53744,0.56444,0.28294,1.35315,2.84664,1.25584,0.000676802,0.000676802,0.000676802
8,1718.21,1.60394,1.56873,1.56,0.65593,0.55583,0.61129,0.31942,1.31295,2.46907,1.25236,0.000511769,0.000511769,0.000511769
9,1928.94,1.55672,1.45401,1.52666,0.66198,0.59442,0.64926,0.34816,1.2618,2.25128,1.20921,0.000346736,0.000346736,0.000346736
10,2139.17,1.51357,1.39003,1.49227,0.69352,0.60683,0.6669,0.36217,1.2428,2.23229,1.19276,0.000181703,0.000181703,0.000181703
